Drug_Name,Indication
Acemetacin,"Acemetacin is not FDA, Canada or EMA approved, but in the countries where it is marketed it is indicated for the symptomatic treatment of pain and swelling in acute inflammation of the joints in rheumathoid arthritis, osteoarthritis, low back pain and post-surgical pain.[L1045] It is also indicated for the treatment of chronic inflammation of the joints in presence of rheumatoid arthritis, treatment of ankylosing spondylitis, treatment of irritation in the joints and spinal column caused by degenerative disorders, treatment of inflammatory soft-tissue rheumatism syndrome and painful swelling and inflammation caused by injury.[L1044, L1046]"
Acenocoumarol,"For the treatment and prevention of thromboembolic diseases. More specifically, it is indicated for the prevention of cerebral embolism, deep vein thrombosis, pulmonary embolism, thromboembolism in infarction and transient ischemic attacks. It is used for the treatment of deep vein thrombosis and myocardial infarction."
Acetaminophen,"In general, acetaminophen is used for the treatment of mild to moderate pain and reduction of fever.[F4124] It is available over the counter in various forms, the most common being oral forms. Acetaminophen _injection_ is indicated for the management of mild to moderate pain, the management of moderate to severe pain with adjunctive opioid analgesics, and the reduction of fever.[Label] Because of its low risk of causing allergic reactions, this drug can be administered in patients who are intolerant to salicylates and those with allergic tendencies, including bronchial asthmatics.[F4124] Specific dosing guidelines should be followed when administering acetaminophen to children.[L5780]"
Acetarsol,"Acetarsol has been used for the treatment of different diseases such as syphilis, amoebiasis, yaws, trypanosomiasis, and malaria.[L2624] Acetarsol was used commonly for the treatment of vaginitis due to _Trichomonas vaginalis_ and _Candida albicans_.[A32839, A32841] When orally administered, acetarsol can be used for the treatment of intestinal amoebiasis and in the form of suppositories it has been researched for the treatment of proctitis.[L2626] Protozoan infections are parasitic diseases characterized to be caused by organisms classified in the kingdom Protozoa which is formed by a great diversity of organisms.[L2627]"
Acetazolamide,For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies; chronic simple (open-angle) glaucoma
Acetic acid,Used to treat infections in the ear canal.
Acetohexamide,Used in the management of diabetes mellitus type 2 (adult-onset).
Acetohydroxamic acid,"Used, in addition to antibiotics or medical procedures, to treat chronic urea-splitting urinary infections."
Acetophenazine,For the treatment of disorganized and psychotic thinking. Also used to help treat false perceptions (e.g. hallucinations or delusions.)
Acetyl sulfisoxazole,"Acute, recurrent or chronic urinary tract infections (primarily pyelonephritis, pyelitis and cystitis) due to susceptible organisms (usually Escherichia coli, Klebsiella-Enterobacter, staphylococcus, Proteus mirabilis and, less frequently, Proteus vulgaris) in the absence of obstructive uropathy or foreign bodies [L2804] Meningococcal meningitis where the organism has been demonstrated to be susceptible. Haemophilus influenzae meningitis as adjunctive therapy with parenteral streptomycin [L2804] Meningococcal meningitis prophylaxis [L2804]. Acute otitis media due to Haemophilus influenzae when used concomitantly with adequate doses of penicillin or erythromycin (see appropriate labeling for prescribing information) [L2804]. Trachoma, inclusion conjunctivitis, nocardiosis, chancroid, toxoplasmosis as adjunctive therapy with pyrimethamine. Malaria due to chloroquine-resistant strains of Plasmodium falciparum, when used as adjunctive therapy [L2804]. Currently, the increasing frequency of resistant organisms is a limitation of the usefulness of antibacterial agents including the sulfonamides, especially in the treatment of chronic and recurrent urinary tract infections [L2804]."
Acetylcarnitine,"Acetylcarnitine is not approved for any indication in the United states and Canada, but it is approved and indicated in Italy for cerebrovascular disorders, mental function disorders, peripheral nerve disorders, diabetic neuropathy, and nutritional supplementation; Portugal for mental function disorders; Argentina for cerebral vasculopathy, nutritional supplementation, and peripheral neuropathy; Chile for dementia; Philippines for cerebrovascular disorders and mental function disorders; Australia for nutritional supplementation; and India for nutritional supplementation to increase sperm count. Acetylcarnitine also has several potential therapeutic indications for which it is still being investigated: in Norway, acetylcarnitine is in a phase IV trial for prophylactic treatment of migraines; in Italy acetylcarnitine is in a phase II trial for use in patients with type 2 Diabetes Mellitus, a phase III trial for alleviating fatigue in patients with chronic hepatitis C, and for use in patients with Minimal Hepatic Encephalopathy; in the United States acetylcarnitine is in a phase II trial for the neurodegenerative disorder Progressive Supranuclear Palsy, a phase II and III trial for reducing peripheral neuropathy in cancer patients as an adjunct to chemotherapy, a phase I and II trial for treating patients in septic shock, a phase II trial for bipolar depression, a phase II trial to reduce oxidative stress in patients with Sickle Cell disease, a phase I and II trial for chronic fatigue syndrome, and a study for preventing nerve damage in HIV patients; in China acetylcarnitine is in a phase III trial for reducing peripheral neuropathy in cancer patients as an adjunct to chemotherapy; in the United Kingdom acetylcarnitine is being investigated for preventing nerve damage in HIV patients; and in Israel acetylcarnitine is being studied for the treatment of male infertility."
Acetylcholine,"Used to obtain miosis of the iris in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy and other anterior segment surgery where rapid miosis may be required."
Acetylcysteine,"Acetylcysteine is indicated for mucolytic therapy and in the management of [acetaminophen] overdose.[L31378,L31383,L31388,L31478]"
Acetyldigitoxin,Used for fast digitalization in congestive heart failure.
Acetylsalicylic acid,"**Pain, fever, and inflammation** Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label]. **Other indications** ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label]. For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label]. For the prevention of thromboembolism after hip replacement surgery [FDA label]. For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label]. Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. **Important note regarding use of the extended-release formulation [F4405]** In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405]."
Acipimox,Used in the treatment of hyperlipidemias (abnormally elevated levels of any or all lipids and/or lipoproteins in the blood).
Acitretin,For the treatment of severe psoriasis in adults.
Aclidinium,"Aclidinium bromide inhalation powder is indicated for the long-term, maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema."
Acrivastine,"For the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
Activated charcoal,Used as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
Acyclovir,"An acyclovir topical cream is indicated to treat recurrent herpes labialis in immunocompetent patients 12 years and older.[L7303] Acyclovir oral tablets, capsules, and suspensions are indicated to treat herpes zoster, genital herpes, and chickenpox.[L7315] An acyclovir topical ointment is indicated to treat initial genital herpes and limited non-life-threatening mucocutaneous herpes simplex in immunocompromised patients.[L7318] An acyclovir cream with hydrocortisone is indicated to treat recurrent herpes labialis, and shortening lesion healing time in patients 6 years and older.[L7321] An acyclovir buccal tablet is indicated for the treatment of recurrent herpes labialis.[L7324] An acyclovir ophthalmic ointment is indicated to treat acute herpetic keratitis.[L7327]"
Adagrasib,"Adagrasib is indicated for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy.[L44361] It is also indicated to treat KRAS G12C-mutated locally advanced or metastatic colorectal cancer (CRC) in combination with [cetuximab] in adults who have received prior treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.[L51269] These indications are approved under accelerated approval based on objective response rate (ORR) and duration of response (DOR). Their continued approval may be contingent upon verification and description of a clinical benefit in a confirmatory trial(s)."
Adalimumab,"Adalimumab is indicated for the following conditions:[L49101] - Moderately to severely active Rheumatoid Arthritis (RA) in adults, as monotherapy or in combination with [methotrexate] or other non-biologic disease-modifying anti-rheumatic drugs (DMARDs).[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Moderately to severely active polyarticular Juvenile Idiopathic Arthritis (JIA) in patients two years of age and older, as monotherapy or in combination with [methotrexate].[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Psoriatic Arthritis (PsA) in adults.[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Ankylosing Spondylitis (AS) in adults.[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Moderately to severely active Crohn’s Disease (CD) in adults and pediatric patients six years of age and older.[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Moderately to severely active Ulcerative Colitis (UC) in adults. Effectiveness has not been established in patients who have lost response to or were intolerant to TNF blockers.[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Moderate to severe chronic plaque psoriasis in adult candidates for systemic therapy or phototherapy and when other systemic therapies are medically less appropriate.[L42290, L42495, L42935, L44953, L45643, L45818, L49101] - Moderate to severe Hidradenitis Suppurativa (HS) in adults.[L44953] - Non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients two years of age and older.[L35370] Adalimumab has also been used off-label to treat Pyoderma gangrenosum.[A40001,A40002]"
Adapalene,Adapalene is indicated for the topical treatment of acne vulgaris in patients aged 12 and over.[L12873] It is also indicated for acne vulgaris in combination with [benzoyl peroxide][L12930] and in a triple combination therapy with benzoyl peroxide and [clindamycin].[L48666]
Adefovir dipivoxil,"Indicated for the treatment of chronic hepatitis B in adult patients with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease; this is based on histological, virological, biochemical, and serological responses in adult patients with HBeAg+ and HBeAg- chronic hepatitis B with compensated liver function, and in adult patients with clinical evidence of lamivudine-resistant hepatitis B virus with either compensated or decompensated liver function."
Ademetionine,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being."
Adenine,"For nutritional supplementation, also for treating dietary shortage or imbalance"
Adenosine,Adenosine is indicated as an adjunct to thallium-201 in myocardial perfusion scintigraphy in patients unable to adequately exercise.[L31983] It is also indicated to convert sinus rhythm of paroxysmal supraventricular tachycardia.[L31998]
Adenosine phosphate,"For nutritional supplementation, also for treating dietary shortage or imbalance"
Aducanumab,"Aducanumab is indicated for the treatment of Alzheimer’s disease. Treatment should be initiated in patients with mild cognitive impairment or mild dementia stage of disease, the population in which treatment was initiated in clinical trials. There are no safety or effectiveness data on initiating treatment at earlier or later stages of the disease than were studied.[L45146]"
Afamelanotide,Afamelanotide is indicated for the prevention of phototoxicity in adult patients with erythropoietic protoporphyria (EPP).[L9086]
Afamitresgene autoleucel,"Afamitresgene autoleucel is a melanoma-associated antigen A4-(MAGE-A4)-directed genetically modified autologous T cell immunotherapy indicated for the treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A * 02:01P, -A * 02:02P, -A * 02:03P, or -A * 02:06P positive and whose tumour expresses the MAGE-A4 antigen as determined by FDA7 approved or cleared companion diagnostic devices.[L51114]"
Afatinib,"Afatinib is a kinase inhibitor indicated as monotherapy [L2937] for the first-line [FDA Label] treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test [FDA Label], and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy [FDA Label, L2937]. Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I [L2939]."
Aflibercept,"The opthalmic agent is used for the treatment of neovascular (Wet) age-related macular degeneration (AMD), macular edema following retinal vein occlusion (RVO), diabetic macular edema (DME), diabetic retinopathy (DR), and retinopathy of prematurity (ROP).[L45136] The systemic injection, known as ziv-aflibercept, in combination with 5-fluorouracil, leucovorin, irinotecan-(FOLFIRI), is for the treatment of metastatic colorectal cancer that is resistant to or progressed following treatment with oxaliplatin.[L45141]"
Agalsidase alfa,Agalsidase alfa is indicated in the treatment of Fabry disease.[L16398]
Agalsidase beta,Agalsidase beta is indicated in the treatment of Fabry disease.[L16383]
Agkistrodon piscivorus antivenin,CROFAB is a sheep-derived antivenin indicated for the management of adult and pediatric patients with North American crotalid envenomation [FDA label].
Agomelatine,Agomelatine is indicated to treat major depressive episodes in adults.
Ajmaline,For use as an antiarrhythmic agent.
Albendazole,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>."
Albiglutide,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
Albumin Aggregated,"Albumin aggregated is an ingredient in the DRAXIMAGE MAA kit for the preparation of technetium tc99m albumin aggregated injection, which is indicated for the assessment of lung perfusion and for the evaluation of peritoneovenous (LeVeen) shunt patency.[L12816]"
Albumin human,"Albuminex solution is indicated for adults and children for hypovolemia, ascites, hypoalbuminemia including from burns, acute nephrosis, acute respiratory distress syndrome and cardipulmonary bypass [F229]."
Albumin iodinated I-125 serum,I-125 iodinated albumin is used in the determination of total blood and plasma volume.[L12780]
Albumin iodinated I-131 serum,"Iodinated I-131 albumin is indicated for use in determinations of total blood and plasma volumes, cardiac output, cardiac and pulmonary blood volumes and circulation times, and in protein turnover studies, heart and great vessel delineation, localization of the placenta, and localization of cerebral neoplasms.[L12783]"
Albuterol,"Salbutamol is indicated for (i) the symptomatic relief and prevention of bronchospasm due to bronchial asthma, chronic bronchitis, reversible obstructive airway disease, and other chronic bronchopulmonary disorders in which bronchospasm is a complicating factor, and/or (ii) the acute prophylaxis against exercise-induced bronchospasm and other stimuli known to induce bronchospasm.[Label,F3265,F3268]"
Albutrepenonacog alfa,"Under the EMA and FDA, rIX-RFP is indicated in the treatment of hemophilia B.[L2306] For Health Canada, rIX-FRP is also indicated to prevent or reduce bleeding episodes.[L2305] Hemophilia B is the second most common type of hemophilia. It is a rare inherited bleeding disorder caused by reduced or absent levels of factor IX (FIX). The FIX is a vitamin K-dependent plasma protease that when activated is involved in the blood coagulation cascade.[A32551] The hemophilia B is caused by mutations in the _FIX_ gene which can cause different phenotypes. The severe form is characterized by the presence of spontaneous and recurring bleeds into the joints and muscles and excessive bleeding after trauma or surgery.[A32552]"
Alcaftadine,For the prevention of itching associated with allergic conjunctivitis.
Alclofenac,"Alclofenac is indicated in rheumatology, in particular for the treatment of rheumatoid arthritis, ankylosing spondylitis and, as an analgesic, in painful arthritic pathologies."
Alclometasone,For the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
Aldesleukin,For treatment of adults with metastatic renal cell carcinoma.
Alectinib,Alectinib is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC).[L51008] It is also indicated as an adjuvant treatment in adult patients following tumor resection of ALK-positive non-small cell lung cancer.[L51008]
Alefacept,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis"
Alemtuzumab,"LEMTRADA is indicated for the treatment of relapsing forms of multiple sclerosis (MS), including relapsing-remitting disease and active secondary progressive disease, in adults. Because of its safety profile, the use of LEMTRADA should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.[L43397] LEMTRADA contains the same active ingredient (alemtuzumab) found in CAMPATH, and CAMPATH is approved for the treatment of B-cell chronic lymphocytic leukemia (B-CLL), although generally administered at higher and more frequent doses (e.g., 30 mg) than recommended in the treatment of MS.[L43397]"
Alendronic acid,"Alendronic acid is indicated for the treatment and prevention of osteoporosis in men and postmenopausal women, treatment of glucocorticoid-induced osteoporosis, and Paget's disease of bone[FDA Label][A959,A176750]. However, alendronic acid is not indicated for use in pediatric populations or patients with a creatinine clearance <35mL/min[FDA Label]."
Alfacalcidol,"Alfacalcidol is indicated in adult patients with chronic renal failure for the management of hypocalcemia, secondary hyperparathyroidism, or osteodystrophy.[L33284] Alfacalcidol is indicated in the management of nutritional and malabsorptive rickets and osteomalacia, vitamin D-dependent rickets and osteomalacia, and hypophosphataemic vitamin D resistant rickets and osteomalacia.[L33364,L33369]"
Alfentanil,For the management of postoperative pain and the maintenance of general anesthesia.
Alfuzosin,Alfuzosin is used to treat the signs and symptoms of benign prostatic hyperplasia (BPH).[L9251]
Alginic acid,"Indicated for the management of gastric reflux, reflux oesophagitis, hiatus hernia, heartburn (including heartburn of pregnancy) and similar gastric distress [F46]."
Alglucerase,"Alglucerase is indicated for use as a long-term enzyme replacement therapy in patients with Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in moderate-to-severe anemia, thrombocytopenia, bone disease, or significant hepato- or splenomegaly.[L44266]"
Alglucosidase alfa,For the treatment of Pompe disease (GAA deficiency) in infants and pediatric patients.
Alimemazine,Used to prevent and relieve allergic conditions which cause pruritus (itching) and urticaria (some allergic skin reactions).
Alirocumab,"Alirocumab is indicated to reduce the risk of myocardial infarction, stroke, and unstable angina requiring hospitalization in adults with established cardiovascular disease.[L50637] It is also indicated as an adjunct to diet - alone or in combination with other low-density lipoprotein cholesterol (LDL-C)-lowering therapies - to reduce LDL-C in adults with primary hyperlipidemia (including heterozygous familial hypercholesterolemia (HeFH)), adults with homozygous familial hypercholesterolemia (HoFH), and pediatric patients ≥8 years of age with HeFH.[L50637]"
Aliskiren,"Aliskiren is used for the treatment of hypertension in children above 6 years and adults.[L13994] This drug may also be used in conjunction with antihypertensives such as calcium channel blockers and thiazides in products form to provide additional blood pressure control.[L14168,L14171]"
Alitretinoin,For topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.
Allantoin,"Allantoin is commonly applied in a variety of topical vehicles or applications such as cosmetic creams, toothpastes, mouthwashes, shampoos, lipsticks, anti-acne products, and lotions [A32213] for the purpose of moisturizing skin, enhancing the smoothness of skin, stimulating the healing of wounds, and soothing irritated skin [A32213, FDA Label]."
Allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen,Stratagraft is an allogeneic cellularized scaffold product indicated for the treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns).[L35505]
Allogeneic processed thymus tissue,Allogeneic processed thymus tissue is indicated for immune reconstitution in pediatric patients with congenital athymia. It is not indicated for the treatment of patients with severe combined immunodeficiency (SCID).[L38924]
Allopurinol,"Allopurinol is indicated in [FDA label]: 1) the management of patients with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephropathy). 2) the management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels. Treatment with allopurinol should be discontinued when the potential for overproduction of uric acid is no longer present. 3) the management of patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800 mg/day in male patients and 750 mg/day in female patients. Therapy in such patients should be carefully assessed initially and reassessed periodically to determine in each case that treatment is beneficial and that the benefits outweigh the risks."
Almasilate,"Almasilate is indicated for use as an antacid for the neutralization of excess stomach acid [F25]. It is subsequently also used for the symptomatic treatment of diseases where it is necessary to neutralize acid in the stomach, for example, for treating stomach and duodenal ulcers or heartburn and stomach conditions caused by excess stomach acid [F25]."
Almitrine,For the treatment of chronic obstructive pulmonary disease.
Almotriptan,For the treatment of acute migraine headache in adults
Alogliptin,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
Alosetron,Only for the treatment of symptoms of severe diarrhea-predominant irritable bowel syndrome (IBS) in women with chronic symptoms (generally lasting greater than 6 months) who does not present with anatomic or biochemical GI abnormalities and have not responded to conventional therapy.
Alpelisib,"Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer. This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated. The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.[L6652] Alpelisib is also used to treat adult and pediatric patients two years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy. This indication is approved under accelerated approval based on response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).[L41384]"
Alpha-1-proteinase inhibitor,For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.
Alprazolam,"Alprazolam is indicated for the acute treatment of generalized anxiety disorder in adults.[L34783] Alprazolam is also indicated, either as a standard or extended-release formulation, for the treatment of panic disorder with or without agoraphobia in adults.[L34783, L34788] Alprazolam may also be prescribed off-label for insomnia, premenstrual syndrome, and depression.[A177973]"
Alprostadil,"Alprostadil is indicated for palliative, not definitive, therapy to temporarily maintain the patency of the ductus arteriosus until corrective or palliative surgery can be performed in neonates who have congenital heart defects and who depend upon the patent ductus for survival.[L45038] It is also indicated for the treatment of erectile dysfunction due to neurogenic, vasculogenic, psychogenic, or mixed etiology,[L45028,L45033] and as an adjunct to other diagnostic tests in the diagnosis of erectile dysfunction.[L45028]"
Alteplase,"Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. Alteplase is also indicated for the lysis of acute massive pulmonary embolism, defined as acute pulmonary emboli obstructing blood flow to a lobe or multiple lung segments, and acute pulmonary emboli accompanied by unstable hemodynamics.[L43125]"
Altretamine,For use as a single agent in the palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent-based combination.
Aluminium phosphate,"Aluminum phosphate, in its colloidal form, is an ingredient in some over-the-counter antacids.[L51509] It is also used as an adjuvant to boost immune response in vaccines.[A264449]"
Aluminum chloride,- Indicated for the control of minor hemorrhage during dental restorative procedures. - Indicated to reduce underarm perspiration.
Aluminum chlorohydrate,Indicated for use as an antiperspirant.
Aluminum hydroxide,For relief of heartburn and acid indigestion.
